name,value,year,lastValue,rank
Kings XI Punjab,35,2015.6,36.0,5
Kolkata Knight Riders,80.6,2015.6,81.5,1
Mumbai Indians,75.6,2015.6,75,2
Royal Challengers Bangalore,60.6,2015.6,59,3
Sunrisers Hyderabad,38.6,2015.6,38,4
Rjasthan Royals,NA,2015.5,NA,7
Chennai Super Kings,NA,2015.5,NA,7
Delhi Daredevils,34,2015.5,34.0,6
Kings XI Punjab,36,2015.5,37.0,5
Kolkata Knight Riders,81.5,2015.5,82.4,1
Mumbai Indians,75,2015.5,74.4,2
Royal Challengers Bangalore,59,2015.5,57.4,3
Sunrisers Hyderabad,38,2015.5,37.4,4
Rjasthan Royals,NA,2015.4,NA,7
Chennai Super Kings,NA,2015.4,NA,7
Delhi Daredevils,34,2015.4,34.0,6
Kings XI Punjab,37,2015.4,38.0,5
Kolkata Knight Riders,82.4,2015.4,83.3,1
Mumbai Indians,74.4,2015.4,73.8,2
Royal Challengers Bangalore,57.4,2015.4,55.8,3
Sunrisers Hyderabad,37.4,2015.4,36.8,4
Rjasthan Royals,NA,2015.3,NA,7
Chennai Super Kings,NA,2015.3,NA,7
Delhi Daredevils,34,2015.3,34.0,6
Kings XI Punjab,38,2015.3,39.0,4
Kolkata Knight Riders,83.3,2015.3,84.2,1
Mumbai Indians,73.8,2015.3,73.2,2
Royal Challengers Bangalore,55.8,2015.3,54.2,3
Sunrisers Hyderabad,36.8,2015.3,36.2,5
Rjasthan Royals,NA,2015.2,NA,7
Chennai Super Kings,NA,2015.2,NA,7
Delhi Daredevils,34,2015.2,34.0,6
Kings XI Punjab,39,2015.2,40.0,4
Kolkata Knight Riders,84.2,2015.2,85.1,1
Mumbai Indians,73.2,2015.2,72.6,2
Royal Challengers Bangalore,54.2,2015.2,52.6,3
Sunrisers Hyderabad,36.2,2015.2,35.6,5
Rjasthan Royals,NA,2015.1,45,7
Chennai Super Kings,NA,2015.1,NA,7
Delhi Daredevils,34,2015.1,34.0,6
Kings XI Punjab,40,2015.1,41.0,4
Kolkata Knight Riders,85.1,2015.1,86,1
Mumbai Indians,72.6,2015.1,72,2
Royal Challengers Bangalore,52.6,2015.1,51,3
Sunrisers Hyderabad,35.6,2015.1,35,5
Chennai Super Kings,67,2015,67.5,3
Delhi Daredevils,34,2015,34.6,8
Kings XI Punjab,41,2015,40.1,6
Kolkata Knight Riders,86,2015,84.3,1
Mumbai Indians,72,2015,72,2
Rjasthan Royals,45,2015,45,5
Royal Challengers Bangalore,51,2015,51,4
Sunrisers Hyderabad,35,2015,34,7
Chennai Super Kings,67.5,2014.9,68,3
Delhi Daredevils,34.6,2014.9,35.2,7
Kings XI Punjab,40.1,2014.9,39.2,6
Kolkata Knight Riders,84.3,2014.9,82.6,1
Mumbai Indians,72,2014.9,72,2
Rjasthan Royals,45,2014.9,45,5
Royal Challengers Bangalore,51,2014.9,51,4
Sunrisers Hyderabad,34,2014.9,33,8
Chennai Super Kings,68,2014.8,68.5,3
Delhi Daredevils,35.2,2014.8,35.8,7
Kings XI Punjab,39.2,2014.8,38.3,6
Kolkata Knight Riders,82.6,2014.8,80.9,1
Mumbai Indians,72,2014.8,72,2
Rjasthan Royals,45,2014.8,45,5
Royal Challengers Bangalore,51,2014.8,51,4
Sunrisers Hyderabad,33,2014.8,32,8
Chennai Super Kings,68.5,2014.7,69,3
Delhi Daredevils,35.8,2014.7,36.4,7
Kings XI Punjab,38.3,2014.7,37.4,6
Kolkata Knight Riders,80.9,2014.7,79.2,1
Mumbai Indians,72,2014.7,72,2
Rjasthan Royals,45,2014.7,45,5
Royal Challengers Bangalore,51,2014.7,51,4
Sunrisers Hyderabad,32,2014.7,31,8
Chennai Super Kings,69,2014.6,69.5,3
Delhi Daredevils,36.4,2014.6,37.0,7
Kings XI Punjab,37.4,2014.6,36.5,6
Kolkata Knight Riders,79.2,2014.6,77.5,1
Mumbai Indians,72,2014.6,72,2
Rjasthan Royals,45,2014.6,45,5
Royal Challengers Bangalore,51,2014.6,51,4
Sunrisers Hyderabad,31,2014.6,30,8
Chennai Super Kings,69.5,2014.5,70,3
Delhi Daredevils,37,2014.5,37.6,6
Kings XI Punjab,36.5,2014.5,35.6,7
Kolkata Knight Riders,77.5,2014.5,75.8,1
Mumbai Indians,72,2014.5,72,2
Rjasthan Royals,45,2014.5,45,5
Royal Challengers Bangalore,51,2014.5,51,4
Sunrisers Hyderabad,30,2014.5,29,8
Chennai Super Kings,70,2014.4,70.5,3
Delhi Daredevils,37.6,2014.4,38.2,6
Kings XI Punjab,35.6,2014.4,34.7,7
Kolkata Knight Riders,75.8,2014.4,74.1,1
Mumbai Indians,72,2014.4,72,2
Rjasthan Royals,45,2014.4,45,5
Royal Challengers Bangalore,51,2014.4,51,4
Sunrisers Hyderabad,29,2014.4,28,8
Chennai Super Kings,70.5,2014.3,71,3
Delhi Daredevils,38.2,2014.3,38.8,6
Kings XI Punjab,34.7,2014.3,33.8,7
Kolkata Knight Riders,74.1,2014.3,72.4,1
Mumbai Indians,72,2014.3,72,2
Rjasthan Royals,45,2014.3,45,5
Royal Challengers Bangalore,51,2014.3,51,4
Sunrisers Hyderabad,28,2014.3,27,8
Chennai Super Kings,71,2014.2,71.5,3
Delhi Daredevils,38.8,2014.2,39.4,6
Kings XI Punjab,33.8,2014.2,32.9,7
Kolkata Knight Riders,72.4,2014.2,70.7,1
Mumbai Indians,72,2014.2,72,2
Rjasthan Royals,45,2014.2,45,5
Royal Challengers Bangalore,51,2014.2,51,4
Sunrisers Hyderabad,27,2014.2,26,8
Chennai Super Kings,71.5,2014.1,72,2
Delhi Daredevils,39.4,2014.1,40.0,6
Kings XI Punjab,32.9,2014.1,32.0,7
Kolkata Knight Riders,70.7,2014.1,69,3
Mumbai Indians,72,2014.1,72,1
Rjasthan Royals,45,2014.1,45,5
Royal Challengers Bangalore,51,2014.1,51,4
Sunrisers Hyderabad,26,2014.1,25,8
Chennai Super Kings,72,2014,72,1
Delhi Daredevils,40,2014,40,6
Kings XI Punjab,32,2014,32,7
Kolkata Knight Riders,69,2014,69,3
Mumbai Indians,72,2014,72,1
Rjasthan Royals,45,2014,45,5
Royal Challengers Bangalore,51,2014,51,4
Sunrisers Hyderabad,25,2014,25,8
